TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
-1.1143434750305314,1,36,0,1.4284891358715888,0,-0.539615710422561,0.0,0.002682191185448156,2,0
0.5544566360696269,1,15,0,1.3157890447402403,0,0.31670141191047024,0.0,2.230206953144317,2,1
-0.5973218749602905,1,23,2,-1.4453631879777935,3,-0.8964145113946572,0.0,-1.0251679651457781,0,0
-0.3290881197010327,1,33,2,-1.0509128690180745,3,-1.3388450246000567,0.0,0.89322065943085,0,0
-0.7546402120939627,1,28,0,-1.5017132335434678,3,0.7591319251158697,0.0,-1.1129298697633234,0,0
-1.1466458049457933,0,39,0,-0.4310623677956587,0,0.28815750783270255,0.0,2.116289337205495,1,0
-0.3893612260193817,0,16,1,1.2594389991745663,2,2.457494217743048,0.0,-0.5939477974754148,2,1
-0.689759070124364,0,11,1,0.3578382701237796,1,-0.46825595022814165,0.0,1.0287470714459912,1,1
2.5807020726372416,1,26,0,0.5832384523864762,0,0.01699041909390934,0.0,-1.0510506039367629,1,0
-1.0973398234774192,0,0,2,0.41418831568945375,1,-0.8535986552780056,0.0,0.643452035827672,1,1
-0.3036517629061331,1,22,2,-1.3326630968464452,3,0.7734038771547536,0.0,-0.9204575305585019,0,0
1.0994950928994673,0,23,1,-1.1636129601494227,3,-0.11145714925604533,0.0,-0.8969604121736535,0,0
2.423107253364494,1,22,0,-1.0509128690180745,3,0.059806275210560894,0.0,-1.2654357256195496,0,0
-0.4097748239544187,1,21,2,-1.5017132335434678,3,0.21679774763828327,0.0,-1.2370361824691747,0,0
0.9655394965176322,1,10,0,-0.48741241336133284,1,0.14543798744386402,0.0,-0.4215256799994908,1,1
1.3818755176080622,0,2,1,-1.4453631879777935,3,0.5593245965714957,0.0,-1.022872610197757,0,1
1.09216831621398,1,8,2,-0.31836227666431033,1,1.6439929515266685,0.0,0.0021051322535102627,1,1
-1.0931925913912943,0,0,1,0.808638634649173,2,-0.18281690945046458,0.0,0.733321236009169,2,1
-0.8498883090052987,0,8,2,-1.5017132335434678,3,0.7163160689992181,0.0,0.3778683908710691,0,1
-0.9059220225244976,1,20,1,1.4848391814372628,2,-1.1533096480945666,0.0,0.16721611915425608,2,1
-0.7840394795489372,1,19,1,-0.3747123222299845,0,-0.36835228595595465,0.0,1.0418983475510952,1,1
-0.938731236361397,1,1,2,-0.31836227666431033,1,0.01699041909390934,0.0,0.9977791008173036,1,1
-0.5086171886737296,1,33,2,-1.3326630968464452,3,-0.32553642983930314,0.0,-0.8168574191840169,0,0
-1.144756510328781,0,15,2,1.146738908043218,2,2.2434149371597907,0.0,-0.37795515448222944,2,1
-0.9934746998982461,1,25,1,-0.4310623677956587,1,-0.33980838187818696,0.0,-0.6222133805165896,1,0
-0.5919765536048405,1,19,2,-0.03661204883593954,0,1.115930726087966,0.0,-0.8577925371683652,1,1
-0.9204373348259349,1,11,1,-0.9945628234524003,3,2.3433186014319776,0.0,-0.9660864046767383,0,1
-1.0488172080697575,0,24,2,0.808638634649173,0,-1.4102047847944759,0.0,0.8327866170900806,2,0
-0.9068436296547476,1,3,0,-0.881862732321052,0,1.9722478484209973,0.0,1.2164200321231324,0,1
2.8657090776670486,1,20,2,-1.2763130512807712,3,0.44514898026042493,0.0,-1.2115142055106514,0,1
